_id,type,name,brand,category,subCategory,description,images[0].url,price,priceSale,metaTitle
680085fe27ad31a02ab449b8,simple,IPhone 16 pro max,Apple,Mobile Phone,ios,"<ul><li>Features A18 Bionic chip, 6.9"" OLED display, 48MP main camera, 5x optical zoom, available in 256GB, 512GB, 1TB storage options. Dimensions: 160.8 x 77.6 x 8.3 mm.</li></ul>",https://db9zz6qe5c0xt.cloudfront.net/1744887932181-vo2fhfx2jge.webp,144900,164900,iPhone 16 Pro Max
68009a2627ad31a02ab45483,simple,iPhone 15,Apple,Mobile Phone,ios,"<p><span style=""color: rgb(0, 0, 0); background-color: rgb(255, 255, 255);"">Features A16 Bionic chip, 6.1"" OLED display, 48MP main camera, available in 128GB, 256GB, 512GB storage options. Dimensions: 146.7 x 71.5 x 7.8 mm.</span></p>",https://db9zz6qe5c0xt.cloudfront.net/1744869838428-ay0o5e2yhqp.jpg,69900,69600,iPhone 15 128GB
68009b9d27ad31a02ab45502,add-ons,iPhone 15 Tempered Glass,Apple,Accessories,Tempered glass,<p>Full coverage tempered glass for iPhone 15</p>,https://db9zz6qe5c0xt.cloudfront.net/1744874727497-osfkqkg3ic8.webp,699,499,iPhone 15 Tempered Glass
6800a52c27ad31a02ab46c55,add-ons,Adapter,Apple,Accessories,Charger,<p>adapter</p>,https://db9zz6qe5c0xt.cloudfront.net/1744872687421-cgm4u5fsta.webp,2000,1800,adapter
6800ab4327ad31a02ab47ffe,simple,Samsung Galaxy S23 Ultra,Samsung,Mobile Phone,Android,"<p><span style=""color: rgb(0, 0, 0); background-color: rgb(255, 255, 255);"">Flagship device with Snapdragon 8 Gen 2, 12GB RAM, 256GB storage, 6.8"" QHD+ AMOLED, 200MP quad camera. Dimensions: 163.4 x 78.1 x 8.9 mm.</span></p>",https://db9zz6qe5c0xt.cloudfront.net/1744874138740-vht7fnmqu3.jpg,124999,84998,Samsung Galaxy S23 Ultra 5G
6800ad9a27ad31a02ab482b4,simple,Google Pixel 9,Google Pixel,Mobile Phone,Android,"<p><span style=""background-color: rgb(255, 255, 255); color: rgb(36, 36, 36);"">Features Tensor G4 chip, 6.3"" OLED display, 50MP + 48MP dual rear cameras, 12GB RAM, 256GB storage. Dimensions: 160.8 x 74.8 x 8.3 mm.</span></p>",https://db9zz6qe5c0xt.cloudfront.net/1744874326814-y3sxleayc8p.png,74999,73999,Google Pixel 9 256GB
6800adb227ad31a02ab482e8,add-ons,FastCharge 45W USB-C Charger for Samsung Galaxy S23 Ultra,Samsung,Accessories,Charger,"<p><span style=""color: rgb(0, 0, 0); background-color: rgb(255, 255, 255);"">45W USB-C fast charging adapter for Samsung Galaxy S23 Ultra, providing rapid power delivery and quick recharge. Dimensions: 2.4"" x 1.5"" x 1""</span></p>",https://db9zz6qe5c0xt.cloudfront.net/1744874840073-hw0ejbai7ut.jpg,2499,1799,FastCharge 45W USB-C Charger for Samsung Galaxy S23 Ultra
6800af2827ad31a02ab4850f,simple,ArmorShield Backcase for Samsung Galaxy S23 Ultra,Samsung,Accessories,Back case,"<p><span style=""background-color: rgb(255, 255, 255); color: rgb(0, 0, 0);"">Rugged shockproof case with reinforced corners, full-back protection, and raised edges. Dimensions: 6.4"" x 3.1"" x 0.5""</span></p>",https://db9zz6qe5c0xt.cloudfront.net/1744875301043-35zvm575oc6.jpg,1799,1299,ArmorShield Backcase for Samsung Galaxy S23 Ultra
6800afef27ad31a02ab48617,simple,Tempered Glass for Google Pixel 9,Google Pixel,Accessories,Tempered glass,"<p><span style=""background-color: rgb(255, 255, 255); color: rgb(36, 36, 36);"">Ultra-clear screen protector with 9H hardness, scratch &amp; impact resistant, full-screen coverage</span></p>",https://db9zz6qe5c0xt.cloudfront.net/1744875449964-346ytv4zm4s.jpg,699,499,Spigen 9H Glass Screen Protector for Pixel 9
6800b10927ad31a02ab487e3,simple,GlassGuard Samsung Galaxy S23 Ultra,Samsung,Accessories,Tempered glass,"<p><span style=""background-color: rgb(255, 255, 255); color: rgb(0, 0, 0);"">Premium tempered glass for Samsung Galaxy S23 Ultra, offering impact and scratch resistance with full-screen protection.</span></p>",https://db9zz6qe5c0xt.cloudfront.net/1744875782660-lamjk74a71f.webp,799,499,GlassGuard Samsung Galaxy S23 Ultra Screen Protector
